Sex,Age,Current users of ad blockers,Past users of ad blockers,kab_1,kab_2,kab_3,kab_4,aoa_1,aoa_2,aoa_3,aoa_4,poa_1,poa_2,poa_3,poa_4,coa_1,coa_2,coa_3,coa_4,eoa_1,eoa_2,eoa_3,eoa_4,ioa_1,ioa_2,ioa_3,ioa_4,oac_1,oac_2,oac_3,oac_4
female,30,0,0,-1,0,2,0,-1,-2,-2,-2,-2,-2,-2,-2,-1,-3,-3,-3,0,-2,-2,3,3,3,3,3,3,3,3,3
male,35,1,0,3,3,3,3,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2
male,41,0,1,-2,1,1,1,1,1,1,0,0,2,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,0,-1,-1,1
male,38,0,1,1,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0,0,3,3,1,3,3,3,3,3
female,42,0,0,-2,-3,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,0,3,3,1,3,3,3,3,3
female,31,1,0,2,2,2,2,-1,-2,-2,-2,-3,-3,-3,-3,-2,-1,-1,-3,-1,-2,-2,1,3,3,2,3,2,3,2,2
male,51,0,0,-1,-1,-1,1,0,0,-2,-1,-1,-1,-2,-2,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,1,0,1
male,71,0,0,-2,0,0,0,1,0,0,-1,-2,-2,-2,-2,0,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2
female,28,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,0,-3,0,2,3,3,-3,3,3,3,3,3
female,45,0,0,-3,-3,-3,-3,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,2,2,2,3,0,1,1,1
male,40,0,1,2,2,1,-1,-1,-2,-2,-3,-2,-2,-3,-2,-2,-3,-3,-3,1,-2,0,0,3,3,3,3,-2,-1,-3,-3
male,47,1,0,3,3,3,3,-1,-1,-1,-1,-1,3,-2,-3,-1,3,-1,-1,3,-3,3,3,3,3,3,3,3,3,3,3
male,46,0,0,-3,-1,2,2,2,2,2,-1,-2,-1,-2,-2,1,1,0,-1,3,0,1,3,2,2,2,3,-1,-1,0,-1
